ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
7992,7992,pãbṍ,armadilloquinquinchochupaarmadillo1921,false,expert,Chacon2017,p   ã   b   õ   -   -,,Chacon2017
7993,7993,díaji,perrodog18361,false,expert,Chacon2017,d   i   a   j   i,,Chacon2017
7994,7994,jãbã́,venadodeer24668,false,expert,Chacon2017,j   ã   b   ã   -   -,,Chacon2017
7995,7995,ẽbṍ,monoaulladorhowlermonkey14586,false,expert,Chacon2017,-   ẽ   b   õ   -   -   -   -   -,,Chacon2017
7996,7996,waú,marimondamaquisapaspidermonkey14013,false,expert,Chacon2017,w   a   u,,Chacon2017
7997,7997,díajese,chiguiroronsococapybara4908,false,expert,Chacon2017,d   i   a   j   e   s   e,,Chacon2017
7998,7998,bi̵kó,osohormigueroanteater17152,false,expert,Chacon2017,b   i ̵   k   o,,Chacon2017
7999,7999,sẽbẽ́,pacaguaguamajaspaca17426,false,expert,Chacon2017,s   ẽ   b   ẽ   -,,Chacon2017
8000,8000,i̵só,caimancayman3278,false,expert,Chacon2017,-   i ̵   -   s   o   -   -   -   -   -,,Chacon2017
8001,8001,kúu,tortugatortoise23683,false,expert,Chacon2017,-   -   -   k   u u   -   -   -   -   -   -   -   -,,Chacon2017
8002,8002,kúu,tortugamoteloriverturtle23683,false,expert,Chacon2017,-   -   -   k   u u   -   -   -   -   -   -   -   -,,Chacon2017
8003,8003,kiijesé,sainocollaredpeccary21807,false,expert,Chacon2017,-   -   k   i i   j   e   s   e   -   -   -   -   -   -   -   -,,Chacon2017
8004,8004,jesé,jabalimayorwhitelippedpeccary12116,false,expert,Chacon2017,j   e   s   e,,Chacon2017
8005,8005,búu,agutiagouti523,false,expert,Chacon2017,b   u u   -   -   -   -   -   (   -   ),,Chacon2017
8006,8006,pisádã,gatocat10065,false,expert,Chacon2017,p   i   s   a   d   ã   -   -,,Chacon2017
8007,8007,ãjã́,serpienteculebrasnake13918,false,expert,Chacon2017,ã   j   ã   -   -   -   -   -   -   -,,Chacon2017
8008,8008,pĩdṍ,mapanaanacondawaterboa13913,false,expert,Chacon2017,p   ĩ   d   õ   -   -   -,,Chacon2017
8009,8009,bĩbĩ́,picaflorcolibrihummingbird18571,false,expert,Chacon2017,b   ĩ   -   -   b   ĩ   -   -,,Chacon2017
8010,8010,bãã́,guacamayomacaw10528,false,expert,Chacon2017,-   -   -   b   ã ã   -   -,,Chacon2017
8011,8011,dasé,tucanpinshatoucan24099,false,expert,Chacon2017,d   a   s   e   -,,Chacon2017
8012,8012,wekó,loroparrot13446,false,expert,Chacon2017,w   e   k   o,,Chacon2017
8013,8013,kãĩ,pericopihuichoparakeet26521,false,expert,Chacon2017,k   ã   ĩ,,Chacon2017
8014,8014,kekéro,pericopihuichoparakeet18276,false,expert,Chacon2017,k   e   k   e   r   o,,Chacon2017
8015,8015,káa,gallinazobuzzard9974,false,expert,Chacon2017,k   a a,,Chacon2017
8016,8016,wãdṍpĩ,payocurassow17830,false,expert,Chacon2017,w   ã   -   d   õ   -   p   ĩ,,Chacon2017
8017,8017,bi̵pí̵pako,lechuzabuhoowl12789,false,expert,Chacon2017,-   -   b   i ̵   -   p   i ̵   p   a   k   o   -   -,,Chacon2017
8018,8018,katásõrõ,pavademonteguan17802,false,expert,Chacon2017,k   a   t   a   -   -   s   õ   -   r   õ,,Chacon2017
8019,8019,waí,pescadofish18484,false,expert,Chacon2017,-   -   -   w   a   -   i   -,,Chacon2017
8020,8020,bi̵í̵,caribepiranha3959,false,expert,Chacon2017,b   i ̵ i ̵,,Chacon2017
8021,8021,bũbĩ́ãwĩ̵,abejabee131,false,expert,Chacon2017,b   ũ   b   ĩ   ã   w   ĩ ̵   -,,Chacon2017
8022,8022,dõkẽãwĩ̵́,pulgaflea19816,false,expert,Chacon2017,-   -   -   -   d   õ   -   k   ẽ   ã   -   -   w   ĩ ̵   -   -,,Chacon2017
8023,8023,kíawĩ̵,piojolouse19071,false,expert,Chacon2017,k   i   -   -   a   (   w   ĩ ̵   -   -   ),,Chacon2017
8024,8024,bĩ̵tẽ́ãwĩ̵,zancudomosquito25917,false,expert,Chacon2017,b   ĩ ̵   t   ẽ   ã   w   ĩ ̵,,Chacon2017
8025,8025,bẽkã́wĩ̵,hormigaant11441,false,expert,Chacon2017,b   ẽ   k   ã   w   ĩ ̵   -   -   -,,Chacon2017
8026,8026,dupúsũ,niguapiguechiggoejiggerflea15720,false,expert,Chacon2017,d   u   -   p   u   s   ũ   -   -   -   -   -,,Chacon2017
8027,8027,bãkã́dĩ̵kĩ̵,montebush26927,false,expert,Chacon2017,b   ã   k   ã   d   ĩ ̵   k   ĩ ̵,,Chacon2017
8028,8028,jukí̵gi̵,arboltree26336,false,expert,Chacon2017,j   u   k   i ̵   g   i ̵,,Chacon2017
8029,8029,pṹũ,hojaleaf11282,false,expert,Chacon2017,p   ũ ũ,,Chacon2017
8030,8030,pṹũ,hojadearboltreeleaf11209,false,expert,Chacon2017,p   ũ ũ,,Chacon2017
8031,8031,oterípe,semillaseed22020,false,expert,Chacon2017,o   t   e   r   i   p   e   -   -,,Chacon2017
8032,8032,hórika,maizcornmaize21982,false,expert,Chacon2017,-   h   o   r   i   k   a,,Chacon2017
8033,8033,kií,yucamanioc26955,false,expert,Chacon2017,k   i i   -   -   -   -   -   -   -   -   -   -   -,,Chacon2017
8034,8034,poká,harinadeyucamaniocflour10831,false,expert,Chacon2017,p   o   -   k   a   -   -,,Chacon2017
8035,8035,bĩ̵dṍ,tabacotobacco23023,false,expert,Chacon2017,b   ĩ ̵   -   d   õ   -,,Chacon2017
8036,8036,jutá,algodoncotton713,false,expert,Chacon2017,j   u   t   a,,Chacon2017
8037,8037,waagá,calabazoporogourd3356,false,expert,Chacon2017,w   a a   -   -   -   -   g   a,,Chacon2017
8038,8038,jãbṹ,nameyam26151,false,expert,Chacon2017,j   ã   -   b   ũ   -,,Chacon2017
8039,8039,jãpĩ́,camotebatatasweetpotato3547,false,expert,Chacon2017,j   ã   -   p   ĩ   -,,Chacon2017
8040,8040,bũsã́,achiotebijaachiote26954,false,expert,Chacon2017,b   ũ   s   ã,,Chacon2017
8041,8041,bía,ajichilipepper577,false,expert,Chacon2017,b   i   -   a   -,,Chacon2017
8042,8042,pátu,cocacoca5255,false,expert,Chacon2017,-   p   a   t   u,,Chacon2017
8043,8043,kapí,ajahuascajajebanisterium529,false,expert,Chacon2017,k   a   p   i   -,,Chacon2017
8044,8044,hoó,platanoplantain19241,false,expert,Chacon2017,-   h   o o   -   -   -,,Chacon2017
8045,8045,ĩ̵dẽ́wõ,chontachontapalm5003,false,expert,Chacon2017,ĩ ̵   d   ẽ   w   õ,,Chacon2017
8046,8046,kãdĩ̵́,canabravacane27107,false,expert,Chacon2017,-   -   -   -   k   ã   d   ĩ ̵   -   -   -   -   -,,Chacon2017
8047,8047,bṍã,salsalt21498,false,expert,Chacon2017,b   õ   ã,,Chacon2017
8048,8048,pejurú,chichamasatochicha4879,false,expert,Chacon2017,p   e   j   u   r   u,,Chacon2017
8049,8049,siká,unoone24177,false,expert,Chacon2017,s   i   -   k   a,,Chacon2017
8050,8050,pi̵a,dostwo7919,false,expert,Chacon2017,p   i ̵   a,,Chacon2017
8051,8051,sikábõhẽjẽ,cincofive5242,false,expert,Chacon2017,s   i   -   k   a   b   õ   h   ẽ   j   ẽ,,Chacon2017
8052,8052,jãsã́gã,sonajeromaracarattle22418,false,expert,Chacon2017,j   ã   s   ã   g   ã,,Chacon2017
8053,8053,jukí̵tuti,tambordrum23089,false,expert,Chacon2017,j   u   k   i ̵   -   -   -   -   -   t   u   t   i   -   -   -   -,,Chacon2017
8054,8054,kãbõpéro josaré,orejeraareteearornament26981,false,expert,Chacon2017,k   ã   -   b   õ   p   e   r   o   -   -,,Chacon2017
8055,8055,basegí̵,curanderoshamanfolkhealer6940,false,expert,Chacon2017,b   a   s   e   g   i ̵,,Chacon2017
8056,8056,ji̵í̵,yoi25756,false,expert,Chacon2017,j   i ̵ i ̵,,Chacon2017
